scaler,model,acc,prec,rec,f1
none,RandomForest,0.5715025406976206,0.54947546712085,0.5715025406976206,0.5024335012716878
none,XGBoost,0.48642297625450015,0.5687138544578383,0.48642297625450015,0.32512414948445123
none,LogisticRegression,0.3667313657333836,0.5086596638782523,0.3667313657333836,0.2964844881351737
none,FairnessAware,0.46607448183344113,0.5065046724565047,0.46607448183344113,0.4090194987738167
standard,RandomForest,0.5704382903875848,0.5465533596825919,0.5704382903875848,0.5017558443879431
standard,XGBoost,0.48539494195609095,0.5064650630711672,0.48539494195609095,0.32204060991677486
standard,LogisticRegression,0.33519157952454326,0.5500609895984747,0.33519157952454326,0.29449957616118866
standard,FairnessAware,0.46615102112904855,0.5084994372458711,0.46615102112904855,0.4089601978112311
robust,RandomForest,0.570784089649814,0.5466797073096646,0.570784089649814,0.5016952451983921
robust,XGBoost,0.48484408659905875,0.5436056157998606,0.48484408659905875,0.3203162767381551
robust,LogisticRegression,0.3389251407121875,0.5450458942478049,0.3389251407121875,0.30059700062253647
robust,FairnessAware,0.4659080362648482,0.5096826463282309,0.4659080362648482,0.40877032068282826
quantile,RandomForest,0.570603457035725,0.5518746465336064,0.570603457035725,0.5015748939931586
quantile,XGBoost,0.48760298732534213,0.4705511250671511,0.48760298732534213,0.32881217932408585
quantile,LogisticRegression,0.36548297539808644,0.5468004912669613,0.36548297539808644,0.33433341339866296
quantile,FairnessAware,0.46738004206878403,0.5069269005174117,0.46738004206878403,0.41006190232352135
